//Stankers spawned by dsnop
383 - 2575 3484 0
2952 - 2931 10213 0
//Bentamir spawned by dsnop
2192 - 2931 10218 0
//Lava-flow miner Sven spawned by dsnop
13396 - 2939 10200 0
//null spawned by dsnop
13367 - 2938 10200 0
//null spawned by dsnop
13368 - 2938 10201 0
//null spawned by dsnop
13369 - 2938 10199 0
//null spawned by dsnop
13370 - 2937 10201 0
//Lava-flow miner spawned by dsnop
13405 - 2923 10193 0
//Factory Manager spawned by dsnop
2171 - 2929 10184 0
//null spawned by dsnop
2182 - 2935 10179 0
//Cart conductor spawned by dsnop
2181 - 2926 10177 0
//null spawned by dsnop
2183 - 2922 10179 0
//Cart conductor spawned by dsnop
2180 - 2919 10180 0
//null spawned by dsnop
2175 - 2929 10187 0
//null spawned by dsnop
2174 - 2931 10188 0
//null spawned by dsnop
2172 - 2929 10191 0
//null spawned by dsnop
2173 - 2930 10193 0
//Barmaid spawned by dsnop
2178 - 2915 10192 0
//The Beast spawned by dsnop
2941 - 2913 10189 0
//Blandebir spawned by dsnop
2321 - 2915 10194 1
//Cart conductor spawned by dsnop
2409 - 2921 10167 0
//null spawned by dsnop
2184 - 2908 10187 0
//Black Guard spawned by dsnop
2132 - 2890 10197 0
//Black Guard spawned by dsnop
2131 - 2890 10192 0
//Black Guard spawned by dsnop
2130 - 2889 10205 0
//Randivor spawned by dsnop
2156 - 2892 10212 0
//Hervi spawned by dsnop
2157 - 2888 10212 0
//Nolar spawned by dsnop
2158 - 2886 10208 0
//Hirko spawned by dsnop
4558 - 2885 10202 0
//Gulldamar spawned by dsnop
2159 - 2885 10198 0
//null spawned by dsnop
2162 - 2886 10191 0
//null spawned by dsnop
2154 - 2869 10190 0
//Odmar spawned by dsnop
2200 - 2864 10192 0
//Professor Manglethorp spawned by dsnop
4583 - 2870 10198 0
//null spawned by dsnop
2155 - 2868 10200 0
//Dwarven Engineer spawned by dsnop
1840 - 2871 10198 0
//Audmann spawned by dsnop
2201 - 2866 10207 0
//null spawned by dsnop
2161 - 2868 10210 0
//Vigr spawned by dsnop
2151 - 2872 10209 0
//White Chisel Director spawned by dsnop
2104 - 2889 10204 1
//White Chisel Secretary spawned by dsnop
2096 - 2890 10207 1
//Silver Cog Director spawned by dsnop
2105 - 2894 10196 1
//Silver Cog Secretary spawned by dsnop
2097 - 2891 10196 1
//Trade floor guard spawned by dsnop
8813 - 2887 10197 1
//Trade floor guard spawned by dsnop
8813 - 2887 10195 1
//Trade floor guard spawned by dsnop
8813 - 2887 10193 1
//Green Gemstone Secretary spawned by dsnop
2095 - 2889 10211 1
//Green Gemstone Director spawned by dsnop
2103 - 2891 10210 1
//null spawned by dsnop
2098 - 2890 10192 1
//Brown Engine Director spawned by dsnop
2106 - 2893 10190 1
//null spawned by dsnop
2404 - 2872 10189 1
//null spawned by dsnop
2405 - 2870 10190 1
//null spawned by dsnop
2403 - 2868 10188 1
//null spawned by dsnop
2406 - 2870 10187 1
//Purple Pewter Director spawned by dsnop
2100 - 2869 10195 1
//null spawned by dsnop
2092 - 2871 10195 1
//Trade floor guard spawned by dsnop
8813 - 2872 10203 1
//Trade floor guard spawned by dsnop
8813 - 2872 10202 1
//Trade floor guard spawned by dsnop
8813 - 2872 10204 1
//Blue Opal Secretary spawned by dsnop
2094 - 2869 10205 1
//null spawned by dsnop
2101 - 2867 10203 1
//Trade floor guard spawned by dsnop
8813 - 2869 10203 1
//Yellow Fortune Director spawned by dsnop
2102 - 2867 10208 1
//null spawned by dsnop
2093 - 2871 10209 1
//Trade floor guard spawned by dsnop
8813 - 2878 10197 1
//Trade Referee spawned by dsnop
2127 - 2880 10199 1
//null spawned by dsnop
2110 - 2877 10198 1
//Trader spawned by dsnop
2109 - 2876 10198 1
//null spawned by dsnop
2123 - 2878 10196 1
//null spawned by dsnop
2125 - 2876 10195 1
//Trader spawned by dsnop
2121 - 2881 10196 1
//Trader spawned by dsnop
2122 - 2881 10195 1
//Trader spawned by dsnop
2119 - 2883 10195 1
//Trader spawned by dsnop
2120 - 2884 10194 1
//Trader spawned by dsnop
2117 - 2883 10198 1
//Trader spawned by dsnop
2118 - 2885 10199 1
//Trader spawned by dsnop
2115 - 2882 10200 1
//Trader spawned by dsnop
2116 - 2883 10203 1
//Trader spawned by dsnop
2113 - 2881 10201 1
//Trader spawned by dsnop
2114 - 2879 10202 1
//Trader spawned by dsnop
2111 - 2876 10202 1
//Trader spawned by dsnop
2112 - 2876 10201 1
//Ruth Savage spawned by dsnop
14856 - 2894 3445 0
//Mess Sergeant Ramsey spawned by dsnop
14881 - 2896 3442 0
//Shady Character spawned by dsnop
15005 - 2891 3444 0
//Druid spawned by dsnop
15115 - 2892 3442 0
//Shady Character spawned by dsnop
15004 - 2891 3440 0
//Druid spawned by dsnop
15116 - 2887 3440 0
//Brian O'Richard spawned by dsnop
14706 - 3038 4968 0
//Martin Thwait spawned by dsnop
2270 - 3036 4961 0
//Emerald Benedict spawned by dsnop
14707 - 3028 4958 0
//null spawned by dsnop
18561 - 3440 3336 0
//Bill Blakey spawned by dsnop
8722 - 3424 3320 0
//Afflicted spawned by dsnop
1258 - 3464 3308 0
//Afflicted spawned by dsnop
1257 - 3466 3306 0
//Afflicted spawned by dsnop
1261 - 3470 3310 0
//Afflicted spawned by dsnop
1262 - 3472 3304 0
//Afflicted spawned by dsnop
1262 - 3475 3306 0
//Afflicted spawned by dsnop
1258 - 3482 3308 0
//Afflicted spawned by dsnop
1257 - 3477 3301 0
//Afflicted spawned by dsnop
1257 - 3470 3289 0
//Afflicted spawned by dsnop
1261 - 3478 3294 0
//Afflicted spawned by dsnop
1262 - 3494 3300 0
//null spawned by dsnop
7899 - 3489 3296 0
//Afflicted spawned by dsnop
1258 - 3476 3288 0
//Afflicted spawned by dsnop
1262 - 3472 3284 0
//Afflicted spawned by dsnop
1262 - 3473 3274 0
//Afflicted spawned by dsnop
1262 - 3488 3288 0
//Afflicted spawned by dsnop
1258 - 3490 3284 0
//null spawned by dsnop
7898 - 3495 3289 0
//Afflicted spawned by dsnop
1257 - 3495 3297 0
//Afflicted spawned by dsnop
1262 - 3498 3296 0
//Afflicted spawned by dsnop
1257 - 3501 3301 0
//Afflicted spawned by dsnop
1257 - 3506 3299 0
//Afflicted spawned by dsnop
1258 - 3507 3303 0
//Afflicted spawned by dsnop
1262 - 3513 3303 0
//Afflicted spawned by dsnop
1258 - 3514 3287 0
//Afflicted spawned by dsnop
1257 - 3515 3284 0
//Cyreg Paddlehorn spawned by dsnop
1567 - 3522 3284 0
//Afflicted spawned by dsnop
1257 - 3520 3278 0
//Afflicted spawned by dsnop
1262 - 3499 3276 0
//Afflicted spawned by dsnop
1261 - 3498 3274 0
//Afflicted spawned by dsnop
1257 - 3487 3270 0
//Afflicted spawned by dsnop
1258 - 3503 3286 0
//Afflicted spawned by dsnop
1261 - 3501 3285 0
//Loar Shadow spawned by dsnop
1240 - 3503 3285 0
//Loar Shadow spawned by dsnop
1240 - 3493 3286 0
//Loar Shadow spawned by dsnop
1240 - 3496 3289 0
//Loar Shadow spawned by dsnop
1240 - 3488 3289 0
//Loar Shadow spawned by dsnop
1240 - 3489 3296 0
//Loar Shadow spawned by dsnop
1240 - 3492 3299 0
//Loar Shadow spawned by dsnop
1240 - 3497 3299 0
//Loar Shadow spawned by dsnop
1240 - 3505 3303 0
//Loar Shadow spawned by dsnop
1240 - 3506 3300 0
//Loar Shadow spawned by dsnop
1240 - 3507 3315 0
//Loar Shadow spawned by dsnop
1240 - 3502 3318 0
//Loar Shadow spawned by dsnop
1240 - 3511 3320 0
//Loar Shadow spawned by dsnop
1240 - 3488 3303 0
//Loar Shadow spawned by dsnop
1240 - 3483 3303 0
//Loar Shadow spawned by dsnop
1240 - 3479 3306 0
//Loar Shadow spawned by dsnop
1240 - 3477 3297 0
//Loar Shadow spawned by dsnop
1240 - 3474 3284 0
//Loar Shadow spawned by dsnop
1240 - 3472 3275 0
//Loar Shadow spawned by dsnop
1240 - 3469 3275 0
//Loar Shadow spawned by dsnop
1240 - 3474 3279 0
//Loar Shadow spawned by dsnop
1240 - 3488 3272 0
//Loar Shadow spawned by dsnop
1240 - 3483 3270 0
//Loar Shadow spawned by dsnop
1240 - 3500 3273 0
//Loar Shadow spawned by dsnop
1240 - 3504 3271 0
//Loar Shadow spawned by dsnop
1240 - 3489 3287 0
//Loar Shadow spawned by dsnop
1240 - 3486 3284 0
//Loar Shadow spawned by dsnop
1240 - 3484 3289 0
//null spawned by dsnop
8916 - 2412 2843 0
//null spawned by dsnop
8915 - 2412 2843 0
//null spawned by dsnop
8915 - 2412 2843 0
//Banker spawned by dsnop
8948 - 2401 2842 0
//Getorix spawned by dsnop
7602 - 1690 5600 0
//Reggie spawned by dsnop
7601 - 1696 5604 0
//Getorix spawned by dsnop
7602 - 1696 5601 0
//Alran spawned by dsnop
7604 - 1695 5599 0
//Pontimer spawned by dsnop
7603 - 1698 5598 0
//Banker spawned by dsnop
7605 - 1703 5598 0
//Fiara spawned by dsnop
7600 - 1715 5603 0
//null spawned by dsnop
961 - 3374 3276 0
//null spawned by dsnop
1008 - 3381 3276 0
//null spawned by dsnop
963 - 3382 3269 0
//null spawned by dsnop
962 - 3377 3270 0
//null spawned by dsnop
959 - 3368 3276 0
//Sabreen spawned by dsnop
960 - 3362 3276 0
//Arianwyn spawned by dsnop
1202 - 2352 3172 0
//Gwir spawned by dsnop
8894 - 2353 3178 0
//Teclyn spawned by dsnop
2861 - 2346 3165 0
//Amaethwr spawned by dsnop
2860 - 2343 3164 0
//Goreu spawned by dsnop
2363 - 2338 3158 0
//Mawrth spawned by dsnop
2366 - 2335 3163 0
//Dalldav spawned by dsnop
2356 - 2325 3166 0
//null spawned by dsnop
2369 - 2331 3166 0
//null spawned by dsnop
2365 - 2336 3178 0
//Eoin spawned by dsnop
2368 - 2331 3175 0
//Oronwen spawned by dsnop
2353 - 2326 3177 0
//Eudav spawned by dsnop
2352 - 2333 3182 0
//Ilfeen spawned by dsnop
6557 - 2340 3172 0
//Gethin spawned by dsnop
2357 - 2340 3157 1
//Banker spawned by dsnop
2570 - 2337 3169 0
//Banker spawned by dsnop
2354 - 2351 3166 0
//Banker spawned by dsnop
2355 - 2354 3166 0
//Ram spawned by dsnop
3672 - 2323 3191 0
//Ram spawned by dsnop
3672 - 2322 3190 0
//Ram spawned by dsnop
3673 - 2322 3189 0
//Sheep spawned by dsnop
42 - 2320 3190 0
//Sheep spawned by dsnop
43 - 2321 3190 0
//Sheep spawned by dsnop
43 - 2324 3190 0
//Sheep spawned by dsnop
43 - 2325 3189 0
//Elf warrior spawned by dsnop
1183 - 2340 3178 0
//Elf warrior spawned by dsnop
1184 - 2330 3172 0
//Elf warrior spawned by dsnop
2359 - 2320 3172 0
//null spawned by dsnop
2369 - 2323 3172 0
//Elf warrior spawned by dsnop
2360 - 2325 3171 0
//Elf warrior spawned by dsnop
2361 - 2330 3172 0
//Elf warrior spawned by dsnop
2362 - 2341 3173 0
//Elf warrior spawned by dsnop
2361 - 2345 3168 0
//Elf warrior spawned by dsnop
2362 - 2342 3180 0
//null spawned by dsnop
2367 - 2350 3171 1
//null spawned by dsnop
2364 - 2350 3173 1
//Elf warrior spawned by dsnop
2361 - 2352 3167 1
//Knight Dorian spawned by dsnop
12196 - 2644 2677 0
//Captain Ethar spawned by dsnop
12195 - 2644 2676 0
//null spawned by dsnop
3800 - 2659 2675 0
//null spawned by dsnop
3790 - 2658 2666 0
//null spawned by dsnop
3791 - 2659 2663 0
//null spawned by dsnop
3793 - 2659 2660 0
//null spawned by dsnop
5956 - 2656 2666 0
//null spawned by dsnop
11505 - 2654 2663 0
//Void Knight spawned by dsnop
3786 - 2653 2664 0
//Squire spawned by dsnop
3799 - 2645 2664 0
//null spawned by dsnop
3797 - 2651 2659 0
//null spawned by dsnop
3798 - 2657 2654 0
//null spawned by dsnop
3796 - 2665 2660 0
//null spawned by dsnop
3792 - 2667 2653 0
//null spawned by dsnop
3794 - 2666 2650 0
//null spawned by dsnop
3795 - 2668 2650 0
//null spawned by dsnop
3789 - 2662 2649 0
//null spawned by dsnop
3788 - 2659 2648 0
//null spawned by dsnop
11514 - 2673 2664 0
//null spawned by dsnop
11521 - 2673 2655 0
//null spawned by dsnop
11516 - 2675 2658 0
//null spawned by dsnop
11517 - 2678 2656 0
//null spawned by dsnop
11509 - 2680 2663 0
//null spawned by dsnop
11520 - 2682 2654 0
//null spawned by dsnop
11519 - 2681 2656 0
//null spawned by dsnop
11500 - 2685 2665 0
//null spawned by dsnop
11518 - 2683 2666 0
//null spawned by dsnop
11515 - 2675 2670 0
//null spawned by dsnop
11497 - 2679 2670 0
//Man spawned by innocent
1 - 2650 3283 0
//Man spawned by innocent
1 - 2650 3283 0
//Man spawned by innocent
1 - 2651 3285 0
//Man spawned by innocent
1 - 2652 3285 0
//Man spawned by innocent
1 - 101 82 1
//Man spawned by innocent
2 - 101 81 1
//Man spawned by innocent
3 - 94 78 1
//Woman spawned by innocent
4 - 95 77 1
//Woman spawned by innocent
5 - 93 76 1
//null spawned by innocent
6 - 94 77 1
//Farmer spawned by innocent
7 - 95 77 1
//Thief spawned by innocent
8 - 96 77 1
//Guard spawned by innocent
9 - 96 77 1
//Schoolgirl spawned by innocent
10 - 97 77 1
//null spawned by innocent
11 - 97 77 1
//Hallvar spawned by innocent
12 - 98 77 1
//Wizard spawned by innocent
13 - 98 77 1
//Liquid Gold Nymph spawned by innocent
14 - 99 77 1
//Warrior woman spawned by innocent
15 - 100 77 1
//Man spawned by innocent
16 - 101 77 1
//null spawned by innocent
17 - 101 78 1
//Al Kharid warrior spawned by innocent
18 - 102 80 1
//White Knight spawned by innocent
19 - 102 80 1
//Paladin spawned by innocent
20 - 105 82 1
//Hero spawned by innocent
21 - 108 86 1
//Sneakerpeeper spawned by innocent
22 - 108 90 1
//Knight of Ardougne spawned by innocent
23 - 109 94 1
//null spawned by innocent
24 - 109 98 1
//null spawned by innocent
25 - 108 103 1
//Knight of Ardougne spawned by innocent
26 - 108 105 1
//Archer spawned by innocent
27 - 111 103 1
//Zookeeper spawned by innocent
28 - 110 103 1
//Musician spawned by innocent
29 - 112 107 1
//null spawned by innocent
30 - 110 110 1
//null spawned by innocent
31 - 108 110 1
//Guard spawned by innocent
32 - 107 111 1
//Ethereal Mimic spawned by innocent
33 - 105 113 1
//Watchman spawned by innocent
34 - 102 113 1
//Soldier spawned by innocent
35 - 99 110 1
//null spawned by innocent
36 - 97 111 1
//Sigbert the Adventurer spawned by innocent
37 - 95 110 1
//Shipyard worker spawned by innocent
38 - 93 111 1
//null spawned by innocent
39 - 93 111 1
//Shark spawned by innocent
40 - 94 110 1
//Chicken spawned by innocent
41 - 95 112 1
//Sheep spawned by innocent
42 - 92 113 1
//Sheep spawned by innocent
43 - 90 113 1
//null spawned by innocent
44 - 89 114 1
//Banker spawned by innocent
45 - 87 114 1
//Duck spawned by innocent
46 - 86 114 1
//Rat spawned by innocent
47 - 85 114 1
//Oomlie bird spawned by innocent
48 - 84 114 1
//Hellhound spawned by innocent
49 - 82 114 1
//King Black Dragon spawned by innocent
50 - 81 113 1
//Frost dragon spawned by innocent
51 - 80 113 1
//Baby blue dragon spawned by innocent
52 - 84 113 1
//Red dragon spawned by innocent
53 - 83 113 1
//Black dragon spawned by innocent
54 - 83 113 1
//Blue dragon spawned by innocent
55 - 82 113 1
//Dwarf spawned by innocent
56 - 86 114 1
//Fairy spawned by innocent
57 - 88 113 1
//Shadow spider spawned by innocent
58 - 89 111 1
//Giant spider spawned by innocent
59 - 89 109 1
//Giant spider spawned by innocent
60 - 88 109 1
//Spider spawned by innocent
61 - 88 109 1
//Jungle spider spawned by innocent
62 - 90 109 1
//Deadly red spider spawned by innocent
63 - 91 109 1
//Ice spider spawned by innocent
64 - 92 109 1
//Dwarf spawned by innocent
65 - 93 109 1
//Gnome spawned by innocent
66 - 94 109 1
//Gnome spawned by innocent
66 - 95 107 1
//Gnome spawned by innocent
67 - 95 106 1
//Gnome spawned by innocent
67 - 96 106 1
//Gnome spawned by innocent
68 - 96 105 1
//Sten spawned by innocent
69 - 96 104 1
//null spawned by innocent
70 - 96 103 1
//null spawned by innocent
70 - 96 103 1
//null spawned by innocent
70 - 96 103 1
//null spawned by innocent
70 - 96 103 1
//null spawned by innocent
70 - 96 103 1
//null spawned by innocent
70 - 96 103 1
//null spawned by innocent
70 - 96 103 1
//null spawned by innocent
70 - 96 103 1
//Sten spawned by innocent
71 - 96 102 1
//Troll spawned by innocent
72 - 97 101 1
//Zombie spawned by innocent
73 - 97 101 1
//Zombie spawned by innocent
74 - 99 100 1
//Zombie spawned by innocent
75 - 99 100 1
//Zombie spawned by innocent
76 - 99 99 1
//Summoned Zombie spawned by innocent
77 - 99 99 1
//Giant bat spawned by innocent
78 - 103 99 1
//Death wing spawned by innocent
79 - 105 98 1
//Camel spawned by innocent
80 - 106 96 1
//Cow spawned by innocent
81 - 107 94 1
//Lesser demon spawned by innocent
82 - 108 92 1
//Greater demon spawned by innocent
83 - 109 91 1
//Black demon spawned by innocent
84 - 110 90 1
//Suak spawned by innocent
85 - 111 89 1
//Suak spawned by innocent
85 - 111 89 1
//Suak spawned by innocent
85 - 112 87 1
//Giant rat spawned by innocent
86 - 112 86 1
//Giant rat spawned by innocent
87 - 112 85 1
//Dungeon rat spawned by innocent
88 - 112 84 1
//Unicorn spawned by innocent
89 - 112 82 1
//Skeleton spawned by innocent
90 - 113 80 1
//Skeleton spawned by innocent
91 - 111 79 1
//Skeleton spawned by innocent
92 - 111 79 1
//Skeleton spawned by innocent
93 - 110 80 1
//Skeleton Mage spawned by innocent
94 - 108 80 1
//Wolf spawned by innocent
95 - 106 80 1
//Adolescent White wolf spawned by innocent
96 - 105 79 1
//White wolf spawned by innocent
97 - 103 80 1
//Dog spawned by innocent
98 - 101 79 1
//Guard dog spawned by innocent
99 - 100 78 1
//Freaky Forester spawned by innocent
100 - 99 76 1
//Fred the Farmer spawned by dsnop
758 - 3190 3273 0
//Man spawned by innocent
170 - 85 81 1
//Man spawned by innocent
351 - 85 81 1
//Man spawned by innocent
351 - 85 80 1
//Man spawned by innocent
351 - 85 80 1
//Man spawned by innocent
351 - 85 80 1
//Man spawned by innocent
351 - 85 80 1
//Man spawned by innocent
351 - 85 80 1
//Man spawned by innocent
351 - 85 80 1
//Man spawned by innocent
351 - 85 80 1
//Man spawned by innocent
351 - 85 80 1
//Man spawned by innocent
351 - 85 80 1
//Watchman spawned by dsnop
34 - 3240 3496 1
//Watchman spawned by dsnop
34 - 3241 3496 1
//Fremennik man spawned by dsnop
2462 - 2666 3652 0
//Pontak spawned by dsnop
1309 - 2628 3654 0
//Guard spawned by dsnop
32 - 2660 3656 0
//Guard spawned by dsnop
298 - 2658 3658 0
//Monkey spawned by dsnop
2301 - 3398 2915 0
//Billy Goat spawned by dsnop
4935 - 3400 2926 0
//Goat spawned by dsnop
4933 - 3398 2929 0
//Goat spawned by dsnop
4934 - 3398 2933 0
//Seddu spawned by dsnop
3038 - 3407 2925 0
//Kazemde spawned by dsnop
3039 - 3415 2906 0
//null spawned by dsnop
3030 - 3422 2913 0
//Shiratti the Custodian spawned by dsnop
3044 - 3424 2929 0
//Nkuku spawned by dsnop
3032 - 3419 2938 0
//Usi spawned by dsnop
3031 - 3428 2908 0
//null spawned by dsnop
3035 - 3428 2900 0
//null spawned by dsnop
13181 - 3432 2914 0
//Garai spawned by dsnop
3033 - 3434 2905 0
//Artimeus spawned by dsnop
5109 - 3442 2902 0
//Zahra spawned by dsnop
3036 - 3448 2895 0
//Zahur spawned by dsnop
3037 - 3440 2886 0
//Nardah Banker spawned by dsnop
3046 - 3425 2889 0
//Nardah Banker spawned by dsnop
3046 - 3425 2891 0
//Nardah Banker spawned by dsnop
3046 - 3425 2893 0
//Nardah Banker spawned by dsnop
3046 - 3425 2894 0
//null spawned by dsnop
3040 - 3443 2914 0
//null spawned by dsnop
3043 - 3442 2920 0
//null spawned by dsnop
3041 - 3439 2916 0
//null spawned by dsnop
3042 - 3438 2915 0
//Ghaslor the Elder spawned by dsnop
3029 - 3442 2933 0
//null spawned by dsnop
2002 - 3315 2849 0
//Simon Templeton spawned by dsnop
3123 - 3344 2827 0
//null spawned by dsnop
1907 - 3488 3090 0
//Monkey spawned by dsnop
2301 - 3180 3043 0
//Archaeologist spawned by dsnop
1918 - 3179 3042 0
//Camel spawned by dsnop
80 - 3176 3043 0
//Al Shabim spawned by dsnop
832 - 3171 3027 0
//Bedabin nomad spawned by dsnop
833 - 3168 3029 0
//Bedabin nomad fighter spawned by dsnop
1239 - 3171 3029 0
//Bedabin nomad spawned by dsnop
833 - 3165 3033 0
//Bedabin nomad fighter spawned by dsnop
1239 - 3170 3035 0
//Bedabin nomad spawned by dsnop
833 - 3173 3034 0
//Bedabin nomad spawned by dsnop
833 - 3176 3033 0
//Bedabin nomad fighter spawned by dsnop
1239 - 3159 3028 0
//Bedabin nomad fighter spawned by dsnop
1239 - 3180 3027 0
//Bedabin nomad spawned by dsnop
833 - 3177 3037 0
//Bedabin nomad fighter spawned by dsnop
1239 - 3174 3048 0
//Bedabin nomad guard spawned by dsnop
834 - 3171 3045 0
//Desert wolf spawned by dsnop
6051 - 3153 3044 0
//Bedabin nomad spawned by dsnop
833 - 3158 3045 0
//Bedabin nomad fighter spawned by dsnop
1239 - 3162 3043 0
//Bedabin nomad spawned by dsnop
833 - 3157 3039 0
//Bandit spawned by dsnop
1931 - 3182 2958 0
//null spawned by dsnop
3143 - 3191 2926 0
//null spawned by dsnop
1989 - 3283 2810 0
//null spawned by dsnop
1989 - 3283 2809 0
//Rat spawned by dsnop
2682 - 2956 3192 0
//Rat spawned by dsnop
2682 - 2958 3192 0
//Rat spawned by dsnop
2682 - 2956 3193 0
//Rat spawned by dsnop
2682 - 2958 3193 0
//Nex spawned by innocent
13450 - 3008 5539 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//Man spawned by innocent
1 - 3005 5515 0
//null spawned by dsnop
8709 - 3278 2802 0
//Plague cow spawned by dsnop
2000 - 3279 2800 0
//Plague cow spawned by dsnop
1999 - 3276 2802 0
//Plague cow spawned by dsnop
